term,estimate,std.error,statistic,p.value,n_obs,adj_r2,panel,gender
drink,0.03103182141511301,0.07554084568502299,0.41079526094404706,0.6814437455356316,471,0.2851326573462801,A,female
factor(occ_f)2,-0.15309194060749842,0.08512514091936858,-1.7984339168672707,0.07286587535427103,471,0.2851326573462801,A,female
factor(occ_f)3,0.09878073788851507,0.1543324552638761,0.6400516192114015,0.5225073192039666,471,0.2851326573462801,A,female
factor(occ_f)4,-0.21455674963573368,0.10547512779878451,-2.034192838761426,0.04259474015670868,471,0.2851326573462801,A,female
factor(occ_f)6,-0.24328454394885807,0.16785616552892982,-1.4493631686524393,0.14802365642640938,471,0.2851326573462801,A,female
factor(occ_f)7,-0.3457169625768858,0.13967037068585011,-2.475234803768657,0.013730371090300918,471,0.2851326573462801,A,female
factor(occ_f)8,0.6533410579993126,0.2534981790023934,2.577300793916725,0.010316572802591736,471,0.2851326573462801,A,female
factor(occ_f)11,-0.5184580236041898,0.11892967533111676,-4.35936634116532,1.662806181197606e-5,471,0.2851326573462801,A,female
factor(occ_f)12,-0.5781271864990434,0.48651265738505717,-1.1883086240888419,0.2354204313936901,471,0.2851326573462801,A,female
factor(occ_f)13,0.1425843665161677,0.3134226346499232,0.45492683282248275,0.6494099213979665,471,0.2851326573462801,A,female
factor(wu_f)2,0.3158942893552588,0.1666896990003513,1.8951038441469203,0.05880305044945542,471,0.2851326573462801,A,female
factor(wu_f)3,0.1925814827209052,0.1790440329666554,1.0756096113896796,0.2827534832828248,471,0.2851326573462801,A,female
factor(wu_f)4,-0.11439570802966893,0.2100917080215451,-0.5445036794024138,0.5863998526023856,471,0.2851326573462801,A,female
factor(wu_f)5,-0.09198059793395827,0.21596342784716424,-0.4259082144179165,0.6704049581448538,471,0.2851326573462801,A,female
factor(wu_f)7,0.018926159495917253,0.18362666365674554,0.10306868904014964,0.9179603672436863,471,0.2851326573462801,A,female
factor(wu_f)8,0.1906368389964639,0.20846835211851772,0.9144641719433926,0.36102666463845834,471,0.2851326573462801,A,female
factor(wu_f)9,0.09146571130359452,0.2611028440793465,0.3503053045098162,0.7262949016480307,471,0.2851326573462801,A,female
calories,-4.7819505248475764e-4,5.381602424370029e-4,-0.8885737272588197,0.37476892144251994,471,0.2851326573462801,A,female
carbs,0.0011496715507596433,0.0022153811815407687,0.5189497682561616,0.6040841989286649,471,0.2851326573462801,A,female
fat,0.0046339349855522806,0.004840400570104202,0.9573453515754221,0.338974129868025,471,0.2851326573462801,A,female
protein,0.004513066673573856,0.0030085102428385256,1.5001001523318012,0.13438128530898527,471,0.2851326573462801,A,female
diet_guide,-0.10959628829689698,0.0653302048137291,-1.6775745401285713,0.09421526321710401,471,0.2851326573462801,A,female
diet_hifat,0.005774442414359754,0.12623148827024638,0.045744865195579174,0.9635365472558556,471,0.2851326573462801,A,female
diet_hlthy,0.5029689566560741,0.5198812515821689,0.9674689270393476,0.3338971875970218,471,0.2851326573462801,A,female
province_f21:cohort_f3,0.26561069891495775,0.22800383871456703,1.1649395922998906,0.24474118864690073,471,0.2851326573462801,A,female
province_f23:cohort_f3,-0.21200610138540707,0.1724688156487712,-1.2292430987475014,0.2197069089902398,471,0.2851326573462801,A,female
province_f32:cohort_f3,0.09106189997980745,0.28187455553418284,0.3230582476919042,0.7468207898599761,471,0.2851326573462801,A,female
province_f37:cohort_f3,-1.037705687300308,0.8081638181919835,-1.284028886150649,0.19987881864115503,471,0.2851326573462801,A,female
province_f41:cohort_f3,0.7061981642531902,0.30727569786238107,2.298255830727862,0.022064940791191496,471,0.2851326573462801,A,female
province_f42:cohort_f3,-0.0715901233912316,0.2652895742923694,-0.26985652784203956,0.7874104946168411,471,0.2851326573462801,A,female
province_f43:cohort_f3,0.1570972053333522,0.20511823039963817,0.7658861185925545,0.44419803613098063,471,0.2851326573462801,A,female
province_f45:cohort_f3,-0.21986358498970013,0.2690612808935228,-0.8171505920865217,0.4143312462361277,471,0.2851326573462801,A,female
province_f52:cohort_f3,0.313727163525597,0.27100577197868414,1.157640153694856,0.24770516025819725,471,0.2851326573462801,A,female
province_f21:cohort_f4,0.41529033624950584,0.21885910717771445,1.8975236699302098,0.05848231848504233,471,0.2851326573462801,A,female
province_f23:cohort_f4,0.051389318303652204,0.16019681257727728,0.32078864414897473,0.7485389339579008,471,0.2851326573462801,A,female
province_f32:cohort_f4,0.29320902502051316,0.2646669169736914,1.1078416160704323,0.26859927523388505,471,0.2851326573462801,A,female
province_f37:cohort_f4,-0.8166527496286697,0.8176622317887948,-0.9987654044410041,0.31851518297102394,471,0.2851326573462801,A,female
province_f41:cohort_f4,0.9167280353679044,0.3160823454578538,2.900282311054099,0.00393504282346793,471,0.2851326573462801,A,female
province_f42:cohort_f4,-0.007435866121395067,0.2668704474989896,-0.02786320550319915,0.9777852203969393,471,0.2851326573462801,A,female
province_f43:cohort_f4,0.7852649782489466,0.2727848080666825,2.878697621815464,0.004208647764358286,471,0.2851326573462801,A,female
province_f45:cohort_f4,0.018626922430316013,0.2871522040101208,0.06486776758175082,0.9483118528300044,471,0.2851326573462801,A,female
province_f52:cohort_f4,0.20513486185970614,0.22805328562284133,0.8995040843172148,0.368928118095767,471,0.2851326573462801,A,female
province_f21:cohort_f5,0.7044803750684476,0.34131246636671764,2.06403353082196,0.03966214386696908,471,0.2851326573462801,A,female
province_f23:cohort_f5,-0.06630001223595533,0.24325449433646712,-0.27255411011748804,0.7853373408937044,471,0.2851326573462801,A,female
province_f32:cohort_f5,0.3982196292782002,0.331701777393302,1.2005351083965623,0.23064563087269613,471,0.2851326573462801,A,female
province_f37:cohort_f5,-0.7920713469880615,0.8475535047814893,-0.9345384598371381,0.350592847229672,471,0.2851326573462801,A,female
province_f41:cohort_f5,0.7992839552032318,0.4125970715761439,1.9372022010479193,0.053427890890914126,471,0.2851326573462801,A,female
province_f42:cohort_f5,0.1238264223368337,0.34446494690861124,0.35947466773646974,0.7194306735292384,471,0.2851326573462801,A,female
province_f43:cohort_f5,1.01321697313797,0.27926616664869036,3.6281407994996075,3.226344804523658e-4,471,0.2851326573462801,A,female
province_f45:cohort_f5,0.042274045478948204,0.3341971966736683,0.12649431503229305,0.899404526533975,471,0.2851326573462801,A,female
province_f52:cohort_f5,0.7334850759096434,0.281365974666073,2.6068719815185486,0.00948063462751266,471,0.2851326573462801,A,female
(Intercept),4.658279943698985,0.999651005235688,4.659906226574244,4.31835878308234e-6,471,0.2773201334324358,B,female
height,0.020432050891601133,0.005099078596963315,4.00700842379036,7.337268415229493e-5,471,0.2773201334324358,B,female
weight,-0.006454654360680157,0.003498720142501004,-1.8448615773155699,0.06579861325813385,471,0.2773201334324358,B,female
edu_years,0.030349830439985213,0.012186526533859961,2.49044141951843,0.013164351987270194,471,0.2773201334324358,B,female
hlth_exc,0.26045828639231405,0.13310353253737586,1.9568097211783362,0.051066869097221926,471,0.2773201334324358,B,female
hlth_good,0.24570232324657748,0.11958739786239206,2.0545837407492096,0.04056999417318226,471,0.2773201334324358,B,female
