term,estimate,std.error,statistic,p.value,n_obs,adj_r2,panel,model,gender
province_f42,-0.025356764682331875,0.10443898188425396,-0.24279023239075503,0.8082478135529787,672,0.1827643944140943,A,5,male
province_f43,0.15394402083262734,0.08337285999914316,1.8464524406888458,0.06530065357622127,672,0.1827643944140943,A,5,male
province_f45,-0.15909328557516073,0.08233865173507753,-1.9321823010539356,0.05379006239169022,672,0.1827643944140943,A,5,male
province_f52,0.10846826518958344,0.08492814986442021,1.2771768296229555,0.20201560093242357,672,0.1827643944140943,A,5,male
age,0.00439364074424307,0.003385600686525106,1.2977433404151952,0.19485582728537607,672,0.1827643944140943,A,5,male
smoke,0.028782602746143516,0.04313451044394251,0.667275516747763,0.5048432368194669,672,0.1827643944140943,A,5,male
drink,-0.05132763063085506,0.04851145895750677,-1.0580516796209962,0.2904419501069396,672,0.1827643944140943,A,5,male
factor(occ_f)2,0.03766777595142414,0.1024167823022965,0.36778909769145823,0.7131554151801687,672,0.1827643944140943,A,5,male
factor(occ_f)3,0.06359625848884243,0.09184368969263562,0.692440152411928,0.488918966087745,672,0.1827643944140943,A,5,male
factor(occ_f)4,-0.11382289368962027,0.07875910993127973,-1.4452028951182283,0.14890369874416584,672,0.1827643944140943,A,5,male
factor(occ_f)5,-0.37950512663424546,0.3005374664431069,-1.2627547943546915,0.20714974257336086,672,0.1827643944140943,A,5,male
factor(occ_f)6,-0.1213568471354239,0.10144237283771103,-1.1963131750631695,0.23202945179091788,672,0.1827643944140943,A,5,male
factor(occ_f)7,-0.1977877752258125,0.11231215257308745,-1.7610540862628516,0.07871978557945286,672,0.1827643944140943,A,5,male
factor(occ_f)8,0.2840499087322128,0.22770072798180988,1.2474703583508282,0.2126937949654361,672,0.1827643944140943,A,5,male
factor(occ_f)9,0.09589006523168134,0.11821729626011589,0.8111339733290169,0.41759850472347537,672,0.1827643944140943,A,5,male
factor(occ_f)10,-0.2077936452959787,0.10662215358273949,-1.9488787115402755,0.05175839246190409,672,0.1827643944140943,A,5,male
factor(occ_f)11,-0.3386312824207713,0.10607522254705187,-3.1923692855847117,0.0014821579804918902,672,0.1827643944140943,A,5,male
factor(occ_f)12,-0.8805021997287917,0.3373586707537818,-2.609988347895224,0.009272175313160111,672,0.1827643944140943,A,5,male
factor(occ_f)13,-0.1787012404755345,0.26822667164721475,-0.6662321810806772,0.5055093288394683,672,0.1827643944140943,A,5,male
factor(wu_f)2,-0.05062702969812652,0.07712869872762224,-0.6563967826932282,0.5118112244738913,672,0.1827643944140943,A,5,male
factor(wu_f)3,-0.0067520175005264214,0.09238296031378825,-0.07308726065491404,0.9417601375488581,672,0.1827643944140943,A,5,male
factor(wu_f)4,-0.30011714346639856,0.10525545776822355,-2.851321440521096,0.004498002703440196,672,0.1827643944140943,A,5,male
factor(wu_f)5,-0.246534379415923,0.1146724299795336,-2.1499010656696096,0.03194732851904784,672,0.1827643944140943,A,5,male
factor(wu_f)7,0.21810652280085338,0.09538073957590328,2.286693558580408,0.022548316540826494,672,0.1827643944140943,A,5,male
factor(wu_f)8,0.15248546410410319,0.10604994585988252,1.4378646105635278,0.15097456934372214,672,0.1827643944140943,A,5,male
factor(wu_f)9,0.17490774986946303,0.29725333954003624,0.5884130692698414,0.5564683195135772,672,0.1827643944140943,A,5,male
calories,1.2422107269349046e-4,1.273255360591219e-4,0.9756179046111385,0.3296325133951299,672,0.1827643944140943,A,5,male
carbs,-0.0012001297894746155,5.454338370447023e-4,-2.200321483495084,0.028150391684129233,672,0.1827643944140943,A,5,male
fat,-0.001592856683583033,0.0012539571129076344,-1.270264084143651,0.20446476702494695,672,0.1827643944140943,A,5,male
protein,0.0044307855257033355,0.0014756865495165355,3.0025248432026093,0.0027847712999921866,672,0.1827643944140943,A,5,male
diet_guide,0.17084119163388095,0.058555295879386814,2.917604446671784,0.0036544312093759867,672,0.1827643944140943,A,5,male
diet_hifat,0.05310783570951815,0.09133378479483184,0.5814697795434323,0.5611341970520698,672,0.1827643944140943,A,5,male
diet_hlthy,-0.2514444846754863,0.1195741696079807,-2.1028327898896335,0.03588094439710949,672,0.1827643944140943,A,5,male
(Intercept),5.897069743686855,0.7790468165116234,7.569596099618836,1.3566390467894277e-13,672,0.1823657096545268,A,6,male
height,6.230964727279776e-4,0.00397364882654132,0.15680713116018438,0.8754477359936357,672,0.1823657096545268,A,6,male
bmi_under,-0.07961001709866876,0.05251157639142077,-1.516046985625731,0.13001549300623205,672,0.1823657096545268,A,6,male
bmi_over,0.16815386961768763,0.2046154685366048,0.8218042888952242,0.4115031857569096,672,0.1823657096545268,A,6,male
edu_years,0.04271685551311688,0.009540210318275217,4.477559098596444,8.982739003423226e-6,672,0.1823657096545268,A,6,male
hlth_exc,0.15743894868520097,0.09731723142549639,1.6177910774797601,0.10621459654753042,672,0.1823657096545268,A,6,male
hlth_good,0.13785631347677268,0.08061457257637113,1.7100669155836923,0.08775219984928796,672,0.1823657096545268,A,6,male
hlth_fair,0.11772582726715813,0.0904013682511785,1.3022571399589786,0.19331049937972092,672,0.1823657096545268,A,6,male
married,0.03765696649491309,0.08838540958461642,0.4260541040867375,0.6702158155106854,672,0.1823657096545268,A,6,male
divorced,-0.06470701535597026,0.12175450935165437,-0.5314547748624395,0.5952934095219347,672,0.1823657096545268,A,6,male
widowed,-0.10870910747763295,0.23479275624780274,-0.4630002612299513,0.6435261247604112,672,0.1823657096545268,A,6,male
separated,-0.3194895537080594,0.14728447600473557,-2.1692004641262193,0.030445536924005142,672,0.1823657096545268,A,6,male
province_f23,0.08680500420792693,0.07844681511874117,1.1065459327639289,0.2689180654510002,672,0.1823657096545268,A,6,male
province_f32,0.13343422929033072,0.07836971972701343,1.702624811663541,0.08913791769302763,672,0.1823657096545268,A,6,male
province_f37,0.09336005202972479,0.08317181826654726,1.1224962249896533,0.26208461548660555,672,0.1823657096545268,A,6,male
province_f41,0.11100672374807588,0.08248533734533986,1.345775228915244,0.17886534183863695,672,0.1823657096545268,A,6,male
province_f42,-0.023892109557192353,0.10435808607898069,-0.22894353906711393,0.8189880543546018,672,0.1823657096545268,A,6,male
province_f43,0.15798996297936002,0.083512005710137,1.8918233568443992,0.058978759043515766,672,0.1823657096545268,A,6,male
province_f45,-0.15680377171868268,0.08305781593277363,-1.8878870092803604,0.05950633100306972,672,0.1823657096545268,A,6,male
province_f52,0.11586275197556216,0.08578929904365382,1.3505501649641116,0.1773307215067918,672,0.1823657096545268,A,6,male
age,0.004522703661874096,0.003387589655969856,1.33508013696519,0.18233853741877082,672,0.1823657096545268,A,6,male
smoke,0.02821369732684008,0.04317691102773181,0.6534440897988022,0.5137114982562203,672,0.1823657096545268,A,6,male
drink,-0.05232814688328607,0.04851985456063224,-1.0784893598123804,0.281233484169344,672,0.1823657096545268,A,6,male
factor(occ_f)2,0.03622656961700939,0.10215430963820288,0.354625955041075,0.7229900280297435,672,0.1823657096545268,A,6,male
factor(occ_f)3,0.06191771340024667,0.09201471958534538,0.6729109611948209,0.5012538582675397,672,0.1823657096545268,A,6,male
factor(occ_f)4,-0.12153837998142687,0.0800923339291481,-1.5174783155769078,0.12965403068990908,672,0.1823657096545268,A,6,male
factor(occ_f)5,-0.38422342076474586,0.3019850530773454,-1.2723259540475909,0.20373276011574518,672,0.1823657096545268,A,6,male
factor(occ_f)6,-0.12306691973062031,0.10119167360130137,-1.2161763448592438,0.22437908160924033,672,0.1823657096545268,A,6,male
factor(occ_f)7,-0.19957210679299253,0.11258915202327363,-1.7725695878030807,0.07678945272798245,672,0.1823657096545268,A,6,male
factor(occ_f)8,0.2763149388617701,0.22326397545693258,1.2376154204737388,0.21632567163108063,672,0.1823657096545268,A,6,male
factor(occ_f)9,0.09725842656763185,0.11774795008834482,0.8259882783068416,0.40912744606584817,672,0.1823657096545268,A,6,male
factor(occ_f)10,-0.21792644246128806,0.10814977029766858,-2.0150430450427503,0.04432988261343461,672,0.1823657096545268,A,6,male
factor(occ_f)11,-0.3414213396340825,0.1064530806372197,-3.207247151424472,0.0014088940677584305,672,0.1823657096545268,A,6,male
factor(occ_f)12,-0.8814259750194071,0.3352453809127208,-2.6291964787693263,0.00877024830319328,672,0.1823657096545268,A,6,male
factor(occ_f)13,-0.18235319488102264,0.2689620726069272,-0.6779885101031381,0.49803110638085046,672,0.1823657096545268,A,6,male
factor(wu_f)2,-0.05149580090173495,0.07728950044321409,-0.6662716230074458,0.5054845360865059,672,0.1823657096545268,A,6,male
factor(wu_f)3,-0.010206401399484297,0.09214552537720269,-0.1107639395152813,0.9118392713231505,672,0.1823657096545268,A,6,male
