term,estimate,std.error,statistic,p.value,n_obs,adj_r2,panel,model,gender
bmi_over,-0.11111603113356328,0.06173907511712956,-1.799768314033814,0.07260632307825104,471,0.19995808764356426,A,5,female
edu_years,0.024058532594990814,0.011918689479142978,2.018555197456219,0.044161062902884234,471,0.19995808764356426,A,5,female
hlth_exc,0.22868551753850247,0.12689529709548825,1.8021591246712434,0.07222880095235687,471,0.19995808764356426,A,5,female
hlth_good,0.21020717844063744,0.11664752664932512,1.8020714581679784,0.07224261542848845,471,0.19995808764356426,A,5,female
hlth_fair,0.18487527081870092,0.1269475282949586,1.456312488330998,0.14604459597351666,471,0.19995808764356426,A,5,female
married,-0.05171259782860149,0.08712140038372593,-0.593569405459893,0.5531159138394174,471,0.19995808764356426,A,5,female
divorced,-0.04852965486340015,0.14120712077238473,-0.34367710776871024,0.7312590860099085,471,0.19995808764356426,A,5,female
widowed,-0.10304098748166735,0.18727668897283672,-0.5502072257194421,0.5824662951497995,471,0.19995808764356426,A,5,female
separated,0.21568577122887853,0.2707895021030288,0.7965071376615455,0.42618202902888624,471,0.19995808764356426,A,5,female
province_f23,-0.05698962649555562,0.1016935409463122,-0.560405567209451,0.5754981213158887,471,0.19995808764356426,A,5,female
province_f32,0.1699524484369717,0.10069145406505016,1.687853750996351,0.0921729479505368,471,0.19995808764356426,A,5,female
province_f37,0.05222546325923332,0.1393314360113749,0.37482900308993927,0.7079746105270246,471,0.19995808764356426,A,5,female
province_f41,-0.06318899559228715,0.12648300809267143,-0.49958485764340693,0.6176259523791798,471,0.19995808764356426,A,5,female
province_f42,-0.01047738851692869,0.09851952722963132,-0.10634834343558895,0.9153561554205821,471,0.19995808764356426,A,5,female
province_f43,0.1171087279835579,0.11895579762977121,0.9844726387194511,0.3254432870790793,471,0.19995808764356426,A,5,female
province_f45,0.06333285949892223,0.0976761827139771,0.6483961364909026,0.5170789324993271,471,0.19995808764356426,A,5,female
province_f52,0.031928792383441006,0.11258060474621741,0.2836082863066498,0.776848690136279,471,0.19995808764356426,A,5,female
age,0.008161494862381814,0.004403619163199789,1.8533607380460781,0.06452350380658144,471,0.19995808764356426,A,5,female
smoke,0.028332645925346067,0.27193990617973596,0.1041871578297151,0.9170699733146273,471,0.19995808764356426,A,5,female
drink,0.04029972731812577,0.06987309772886732,0.5767559851790622,0.5644096543736896,471,0.19995808764356426,A,5,female
factor(occ_f)2,-0.16225565371177733,0.07620843458045555,-2.129103617008156,0.0338200006901567,471,0.19995808764356426,A,5,female
factor(occ_f)3,0.07114037203943625,0.1494085338101804,0.47614664454052014,0.6342145834103614,471,0.19995808764356426,A,5,female
factor(occ_f)4,-0.24544769618802362,0.10322631042910128,-2.3777629479124314,0.017859439531295287,471,0.19995808764356426,A,5,female
factor(occ_f)6,-0.21941036301650627,0.1649885083460424,-1.3298523952730148,0.18428017216378415,471,0.19995808764356426,A,5,female
factor(occ_f)7,-0.3048742248518695,0.13245873378411022,-2.301654380516525,0.021837531273104473,471,0.19995808764356426,A,5,female
factor(occ_f)8,0.5977847250108101,0.20379562033462362,2.9332559945560823,0.003535773099182022,471,0.19995808764356426,A,5,female
factor(occ_f)11,-0.4902314003632981,0.11173997108058946,-4.387251899409674,1.4495481736590183e-5,471,0.19995808764356426,A,5,female
factor(occ_f)12,-0.4671458820115943,0.40950073667068515,-1.1407693324548682,0.2546083381862803,471,0.19995808764356426,A,5,female
factor(occ_f)13,0.15259958043195654,0.30333976508321714,0.5030648731137934,0.6151792650129402,471,0.19995808764356426,A,5,female
factor(wu_f)2,0.25973925134331705,0.13461713326551009,1.9294665176907624,0.05433832206888687,471,0.19995808764356426,A,5,female
