term,estimate,std.error,statistic,p.value,n_obs,adj_r2,panel,gender
hlth_good,0.1932348589918646,0.11720856798906282,1.6486410704198355,0.10001226344611698,471,0.21452837586608253,B,female
hlth_fair,0.16402220382206972,0.13245975085612632,1.2382795736965078,0.2163441397550358,471,0.21452837586608253,B,female
married,-0.05982716547122378,0.10136743016439143,-0.5902010672875871,0.5553916426528545,471,0.21452837586608253,B,female
divorced,-0.07951598975579763,0.14674661910368114,-0.5418590918242352,0.5882195608620442,471,0.21452837586608253,B,female
widowed,-0.11873259250595948,0.24180023228550476,-0.49103589100678113,0.6236723875421295,471,0.21452837586608253,B,female
separated,0.44444448605147857,0.4223552104004078,1.0523002323805342,0.2933018924695728,471,0.21452837586608253,B,female
province_f23,0.276065832601877,0.18653845693662924,1.4799405824165361,0.13968219816703836,471,0.21452837586608253,B,female
province_f32,0.39036520133412345,0.23775457328837496,1.641883039030528,0.10140610805773553,471,0.21452837586608253,B,female
province_f37,1.227849877325801,0.8272824679568209,1.4841966618225098,0.13855025832004134,471,0.21452837586608253,B,female
province_f41,-0.3452563109620776,0.32542662478770945,-1.0609344308791695,0.28936469401773385,471,0.21452837586608253,B,female
province_f42,0.35055899328942614,0.28555893248781805,1.2276239802247508,0.22031555274294198,471,0.21452837586608253,B,female
province_f43,-0.1860763158687168,0.20366930191879692,-0.9136198441083947,0.36147114768289024,471,0.21452837586608253,B,female
province_f45,0.4733202471059216,0.273546542650046,1.730309740055645,0.08435205877482022,471,0.21452837586608253,B,female
province_f52,0.02361689765506418,0.2148555417097432,0.10991989067226005,0.9125284494270679,471,0.21452837586608253,B,female
age,0.024237388399135838,0.010508613224034074,2.306430723294955,0.02160083537576503,471,0.21452837586608253,B,female
smoke,0.1806192128336313,0.31741985578598864,0.5690230448450859,0.5696622720350666,471,0.21452837586608253,B,female
drink,0.04662119370709016,0.07458462035853629,0.6250778442388937,0.5322790788400005,471,0.21452837586608253,B,female
factor(occ_f)2,-0.1505092527620764,0.08356603321207384,-1.801081695239908,0.07244872997209217,471,0.21452837586608253,B,female
factor(occ_f)3,0.1455079640450843,0.16025466348568096,0.9079795924820976,0.3644398305617126,471,0.21452837586608253,B,female
factor(occ_f)6,-0.1826150461549804,0.17087230397988792,-1.0687223259801928,0.28584419686953977,471,0.21452837586608253,B,female
factor(occ_f)7,-0.2854632219743885,0.14093331182352253,-2.025519859576188,0.04348253169467784,471,0.21452837586608253,B,female
factor(occ_f)8,0.7580066346410929,0.24784226296336884,3.058423634362661,0.002375822490920143,471,0.21452837586608253,B,female
factor(occ_f)11,-0.4658596592352253,0.12408065871744013,-3.754490539062125,1.996547129053766e-4,471,0.21452837586608253,B,female
factor(occ_f)12,-0.4760272804991304,0.5017052608774674,-0.9488185945400952,0.3432900919038556,471,0.21452837586608253,B,female
factor(occ_f)13,0.22959138346544616,0.3141817537054577,0.7307597616909537,0.4653569468751656,471,0.21452837586608253,B,female
factor(wu_f)2,0.3155433342941539,0.15971309349650742,1.9756885762221752,0.048882134360073826,471,0.21452837586608253,B,female
