term,estimate,std.error,statistic,p.value,panel,model,gender,n_obs
divorced,0.6322232069858184,0.32767801701816135,1.9294037871047596,0.053680753937824954,A,6,female,965
widowed,0.8894484736127933,0.5143477283888237,1.7292746220518163,0.08375995639776554,A,6,female,965
separated,-0.5641089639826679,0.49012015250907515,-1.1509605575180317,0.2497484625054192,A,6,female,965
province_f23,0.006405712935755669,0.19928495131106308,0.03214348546447452,0.9743576249261415,A,6,female,965
province_f32,0.20701580786643167,0.1856668358255872,1.1149853819930415,0.26485668597331635,A,6,female,965
province_f37,0.21538014057272675,0.18651663413964886,1.1547503072110297,0.24819269189362062,A,6,female,965
province_f41,-0.5199586388828986,0.2032823079346017,-2.557815503797681,0.010533195941344001,A,6,female,965
province_f42,-0.19425880609222176,0.19014847132022836,-1.0216164492065318,0.30696246921640535,A,6,female,965
province_f43,-0.6076106396898918,0.17557852988867126,-3.460620384936349,5.389322041392694e-4,A,6,female,965
province_f45,0.17105698937491037,0.1987380178261981,0.8607159880426323,0.38939448528546045,A,6,female,965
province_f52,0.03948078023688207,0.20020762130823522,0.19719918741803708,0.8436716664769064,A,6,female,965
age,-0.010379021140034056,0.008103966849898375,-1.280733415162503,0.20028731862335034,A,6,female,965
smoke,0.4461347115080339,0.4932352191220649,0.9045070064180176,0.3657266208765587,A,6,female,965
drink,0.1365196561141455,0.14543860375859097,0.9386755138322851,0.3478973689409252,A,6,female,965
child_u6,-0.26051958365948347,0.14538504405754824,-1.7919283606390843,0.0731444423270828,A,6,female,965
calories,1.0713268435035867e-4,9.336148846988406e-4,0.11475040309036721,0.9086429618704298,A,6,female,965
carbs,5.882850567491315e-4,0.0037123046171628968,0.15846896131027208,0.8740872768797701,A,6,female,965
fat,-5.118441436518952e-4,0.008378935160037676,-0.06108701569777915,0.9512899098109464,A,6,female,965
protein,-1.127634449486557e-4,0.005424631955452372,-0.02078729872822351,0.9834153296978119,A,6,female,965
diet_guide,0.34998807305794377,0.12016489989132638,2.9125649284813013,0.003584736674092411,A,6,female,965
diet_hifat,0.21441120443960957,0.2166647149821285,0.989599088422382,0.32237011575190483,A,6,female,965
diet_hlthy,-0.4631822178152381,0.364781753962991,-1.2697516056744174,0.2041731240721563,A,6,female,965
bmi_over:edu_years,-0.05543876710675125,0.027999207555265453,-1.980012005601408,0.04770217967423574,A,6,female,965
(Intercept),-0.030296577726129616,1.57570981539697,-0.01922725709397004,0.9846598136029338,A,7,female,965
height,-0.009297125643621642,0.00945792084133202,-0.9829988852298608,0.325607987310433,A,7,female,965
bmi_under,-0.14282229879188518,0.1186929724625804,-1.2032919542638625,0.22886336146493663,A,7,female,965
bmi_over,0.2613360792704104,0.3129911548340579,0.8349631458721762,0.40373845906531364,A,7,female,965
edu_years,0.11255236213265839,0.019391723948818364,5.8041442024300665,6.469558113301415e-9,A,7,female,965
hlth_exc,0.6577472131595751,0.2512323811834016,2.6180829479915433,0.008842530761261904,A,7,female,965
hlth_good,0.436351134048039,0.2268603283177334,1.923435169488512,0.0544254210527196,A,7,female,965
hlth_fair,0.4332655710603354,0.23356639086906306,1.8549996403516096,0.06359627793534536,A,7,female,965
married,0.5532551985920284,0.1866954854025036,2.963409626104484,0.003042513887196413,A,7,female,965
divorced,0.6322232069858184,0.32767801701816135,1.9294037871047596,0.053680753937824954,A,7,female,965
widowed,0.8894484736127933,0.5143477283888237,1.7292746220518163,0.08375995639776554,A,7,female,965
separated,-0.5641089639826679,0.49012015250907515,-1.1509605575180317,0.2497484625054192,A,7,female,965
province_f23,0.006405712935755669,0.19928495131106308,0.03214348546447452,0.9743576249261415,A,7,female,965
province_f32,0.20701580786643167,0.1856668358255872,1.1149853819930415,0.26485668597331635,A,7,female,965
province_f37,0.21538014057272675,0.18651663413964886,1.1547503072110297,0.24819269189362062,A,7,female,965
province_f41,-0.5199586388828986,0.2032823079346017,-2.557815503797681,0.010533195941344001,A,7,female,965
province_f42,-0.19425880609222176,0.19014847132022836,-1.0216164492065318,0.30696246921640535,A,7,female,965
province_f43,-0.6076106396898918,0.17557852988867126,-3.460620384936349,5.389322041392694e-4,A,7,female,965
province_f45,0.17105698937491037,0.1987380178261981,0.8607159880426323,0.38939448528546045,A,7,female,965
province_f52,0.03948078023688207,0.20020762130823522,0.19719918741803708,0.8436716664769064,A,7,female,965
age,-0.010379021140034056,0.008103966849898375,-1.280733415162503,0.20028731862335034,A,7,female,965
smoke,0.4461347115080339,0.4932352191220649,0.9045070064180176,0.3657266208765587,A,7,female,965
drink,0.1365196561141455,0.14543860375859097,0.9386755138322851,0.3478973689409252,A,7,female,965
